ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Bangla-1-sky-1,,Bangla,1-sky,akaʃ,akaʃ,a k a ʃ,,Kim2011,,,,
UsoiBoroPharangsia-1-sky-1,,UsoiBoroPharangsia,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
UsoiChotoMadhuk-1-sky-1,,UsoiChotoMadhuk,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
GabingDolchariSapmara-1-sky-1,,GabingDolchariSapmara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
NaitongLombapara-1-sky-1,,NaitongLombapara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
KemaPakkhipara-1-sky-1,,KemaPakkhipara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
TongpaiTongpaipara-1-sky-1,,TongpaiTongpaipara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
AshongMildhanpara-1-sky-1,,AshongMildhanpara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
DendakNoimailGutchagram-1-sky-1,,DendakNoimailGutchagram,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
KhaliBeltolipara-1-sky-1,,KhaliBeltolipara,1-sky,nokʰa,nokʰa,n o kʰ a,,Kim2011,,,,
UsoiRobertpara-1-sky-1,,UsoiRobertpara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
UsoiBethanipara-1-sky-1,,UsoiBethanipara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
UsoiKatchaptali-1-sky-1,,UsoiKatchaptali,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
AnokLaiphuKarbaripara-1-sky-1,,AnokLaiphuKarbaripara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
KewaKrishnaDayalpara-1-sky-1,,KewaKrishnaDayalpara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
PhatungJarichandrapara-1-sky-1,,PhatungJarichandrapara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
DebbarmaDoluchara-1-sky-1,,DebbarmaDoluchara,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
DebbarmaSatchari-1-sky-1,,DebbarmaSatchari,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
DebbarmaKhumuling-1-sky-1,,DebbarmaKhumuling,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
MukchakBarbakpur-1-sky-1,,MukchakBarbakpur,1-sky,nokʰa,nokʰa,n o kʰ a,,Kim2011,,,,
RiangOldlankar-1-sky-1,,RiangOldlankar,1-sky,noukʰa,noukʰa,n ou kʰ a,,Kim2011,,,,
AbengGajni-1-sky-1,,AbengGajni,1-sky,sɨlga,sɨlga,s ɨ l g a,,Kim2011,,,,
ChibokNagarSontosh-1-sky-1,,ChibokNagarSontosh,1-sky,ʃoga,ʃoga,ʃ o g a,,Kim2011,,,,
AtongNalchapra-1-sky-1,,AtongNalchapra,1-sky,raŋɾa,raŋɾa,r a ŋ ɾ a,,Kim2011,,,,
Bangla-2-sun-1,,Bangla,2-sun,ʃuɹʤo,ʃuɹʤo,ʃ u ɹ ʤ o,,Kim2011,,,,
UsoiBoroPharangsia-2-sun-1,,UsoiBoroPharangsia,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
UsoiChotoMadhuk-2-sun-1,,UsoiChotoMadhuk,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
GabingDolchariSapmara-2-sun-1,,GabingDolchariSapmara,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
NaitongLombapara-2-sun-1,,NaitongLombapara,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
KemaPakkhipara-2-sun-1,,KemaPakkhipara,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
TongpaiTongpaipara-2-sun-1,,TongpaiTongpaipara,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
AshongMildhanpara-2-sun-1,,AshongMildhanpara,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
DendakNoimailGutchagram-2-sun-1,,DendakNoimailGutchagram,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
KhaliBeltolipara-2-sun-1,,KhaliBeltolipara,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
UsoiRobertpara-2-sun-1,,UsoiRobertpara,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
UsoiBethanipara-2-sun-1,,UsoiBethanipara,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
UsoiKatchaptali-2-sun-1,,UsoiKatchaptali,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
AnokLaiphuKarbaripara-2-sun-1,,AnokLaiphuKarbaripara,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
KewaKrishnaDayalpara-2-sun-1,,KewaKrishnaDayalpara,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
PhatungJarichandrapara-2-sun-1,,PhatungJarichandrapara,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
DebbarmaDoluchara-2-sun-1,,DebbarmaDoluchara,2-sun,ʂa,ʂa,ʂ a,,Kim2011,,,,
DebbarmaSatchari-2-sun-1,,DebbarmaSatchari,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
DebbarmaKhumuling-2-sun-1,,DebbarmaKhumuling,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
MukchakBarbakpur-2-sun-1,,MukchakBarbakpur,2-sun,ʃal,ʃal,ʃ a l,,Kim2011,,,,
RiangOldlankar-2-sun-1,,RiangOldlankar,2-sun,ʂal,ʂal,ʂ a l,,Kim2011,,,,
AbengGajni-2-sun-1,,AbengGajni,2-sun,ʃal,ʃal,ʃ a l,,Kim2011,,,,
ChibokNagarSontosh-2-sun-1,,ChibokNagarSontosh,2-sun,ʃal,ʃal,ʃ a l,,Kim2011,,,,
AtongNalchapra-2-sun-1,,AtongNalchapra,2-sun,raŋʃan,raŋʃan,r a ŋ ʃ a n,,Kim2011,,,,
Bangla-3-moon-1,,Bangla,3-moon,ʧãd,ʧãd,ʧ ã d,,Kim2011,,,,
UsoiBoroPharangsia-3-moon-1,,UsoiBoroPharangsia,3-moon,ta,ta,t a,,Kim2011,,,,
UsoiChotoMadhuk-3-moon-1,,UsoiChotoMadhuk,3-moon,ta,ta,t a,,Kim2011,,,,
GabingDolchariSapmara-3-moon-1,,GabingDolchariSapmara,3-moon,ta,ta,t a,,Kim2011,,,,
NaitongLombapara-3-moon-1,,NaitongLombapara,3-moon,tal,tal,t a l,,Kim2011,,,,
KemaPakkhipara-3-moon-1,,KemaPakkhipara,3-moon,ta,ta,t a,,Kim2011,,,,
TongpaiTongpaipara-3-moon-1,,TongpaiTongpaipara,3-moon,ta,ta,t a,,Kim2011,,,,
AshongMildhanpara-3-moon-1,,AshongMildhanpara,3-moon,ta,ta,t a,,Kim2011,,,,
DendakNoimailGutchagram-3-moon-1,,DendakNoimailGutchagram,3-moon,ta,ta,t a,,Kim2011,,,,
KhaliBeltolipara-3-moon-1,,KhaliBeltolipara,3-moon,tal,tal,t a l,,Kim2011,,,,
UsoiRobertpara-3-moon-1,,UsoiRobertpara,3-moon,ta,ta,t a,,Kim2011,,,,
UsoiBethanipara-3-moon-1,,UsoiBethanipara,3-moon,ta,ta,t a,,Kim2011,,,,
UsoiKatchaptali-3-moon-1,,UsoiKatchaptali,3-moon,ta,ta,t a,,Kim2011,,,,
AnokLaiphuKarbaripara-3-moon-1,,AnokLaiphuKarbaripara,3-moon,tal,tal,t a l,,Kim2011,,,,
KewaKrishnaDayalpara-3-moon-1,,KewaKrishnaDayalpara,3-moon,tal,tal,t a l,,Kim2011,,,,
PhatungJarichandrapara-3-moon-1,,PhatungJarichandrapara,3-moon,tal,tal,t a l,,Kim2011,,,,
DebbarmaDoluchara-3-moon-1,,DebbarmaDoluchara,3-moon,tal,tal,t a l,,Kim2011,,,,
DebbarmaSatchari-3-moon-1,,DebbarmaSatchari,3-moon,tal,tal,t a l,,Kim2011,,,,
DebbarmaKhumuling-3-moon-1,,DebbarmaKhumuling,3-moon,tal,tal,t a l,,Kim2011,,,,
MukchakBarbakpur-3-moon-1,,MukchakBarbakpur,3-moon,tal,tal,t a l,,Kim2011,,,,
RiangOldlankar-3-moon-1,,RiangOldlankar,3-moon,tal,tal,t a l,,Kim2011,,,,
AbengGajni-3-moon-1,,AbengGajni,3-moon,ʤaʤoŋ,ʤaʤoŋ,ʤ a ʤ o ŋ,,Kim2011,,,,
ChibokNagarSontosh-3-moon-1,,ChibokNagarSontosh,3-moon,ʤaʤoŋ,ʤaʤoŋ,ʤ a ʤ o ŋ,,Kim2011,,,,
AtongNalchapra-3-moon-1,,AtongNalchapra,3-moon,ʧaŋɨi,ʧaŋɨi,ʧ a ŋ ɨi,,Kim2011,,,,
Bangla-4-star-1,,Bangla,4-star,taɾa,taɾa,t a ɾ a,,Kim2011,,,,
UsoiBoroPharangsia-4-star-1,,UsoiBoroPharangsia,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
UsoiChotoMadhuk-4-star-1,,UsoiChotoMadhuk,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
GabingDolchariSapmara-4-star-1,,GabingDolchariSapmara,4-star,ʂandugiɾi,ʂandugiɾi,ʂ a n d u g i ɾ i,,Kim2011,,,,
NaitongLombapara-4-star-1,,NaitongLombapara,4-star,handugiɾi,handugiɾi,h a n d u g i ɾ i,,Kim2011,,,,
KemaPakkhipara-4-star-1,,KemaPakkhipara,4-star,handukʰiɾi,handukʰiɾi,h a n d u kʰ i ɾ i,,Kim2011,,,,
TongpaiTongpaipara-4-star-1,,TongpaiTongpaipara,4-star,handugiɾi,handugiɾi,h a n d u g i ɾ i,,Kim2011,,,,
AshongMildhanpara-4-star-1,,AshongMildhanpara,4-star,ʂantokɪɾi,ʂantokɪɾi,ʂ a n t o k ɪ ɾ i,,Kim2011,,,,
DendakNoimailGutchagram-4-star-1,,DendakNoimailGutchagram,4-star,handugiɾi,handugiɾi,h a n d u g i ɾ i,,Kim2011,,,,
KhaliBeltolipara-4-star-1,,KhaliBeltolipara,4-star,handukguɾi,handukguɾi,h a n d u k g u ɾ i,,Kim2011,,,,
UsoiRobertpara-4-star-1,,UsoiRobertpara,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
UsoiBethanipara-4-star-1,,UsoiBethanipara,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
UsoiKatchaptali-4-star-1,,UsoiKatchaptali,4-star,atʰukrɔi,atʰukrɔi,a tʰ u k r ɔi,,Kim2011,,,,
AnokLaiphuKarbaripara-4-star-1,,AnokLaiphuKarbaripara,4-star,handukʰiɾi,handukʰiɾi,h a n d u kʰ i ɾ i,,Kim2011,,,,
KewaKrishnaDayalpara-4-star-1,,KewaKrishnaDayalpara,4-star,hantukuɾi,hantukuɾi,h a n t u k u ɾ i,,Kim2011,,,,
PhatungJarichandrapara-4-star-1,,PhatungJarichandrapara,4-star,handoguɾi,handoguɾi,h a n d o g u ɾ i,,Kim2011,,,,
