ID,Name,Concepticon_ID,Concepticon_Gloss
1-sky,sky,1732,SKY
2-sun,sun,1343,SUN
3-moon,moon,1313,MOON
4-star,star,1430,STAR
5-cloud,cloud,1489,CLOUD
6-rain,rain,658,RAIN (PRECIPITATION)
7-rainbow,rainbow,1733,RAINBOW
8-wind,wind,960,WIND
9-lightning,lightning,1654,LIGHTNING
10-thunder,thunder,1150,THUNDER
11-sea,sea,1474,SEA
12-mountain,mountain,639,MOUNTAIN
13-water,water,948,WATER
14-river,river,666,RIVER
15-soilground,soil/ground,1228,EARTH (SOIL)
16-mud,mud,640,MUD
17-dust,dust,2,DUST
18-stone,stone,857,STONE
19-sand,sand,671,SAND
20-gold,gold,1369,GOLD
21-silver,silver,759,SILVER
22-today,today,1283,TODAY
23-yesterday,yesterday,1174,YESTERDAY
24-tomorrow,tomorrow,1329,TOMORROW
25-week,week,1469,WEEK
26-month,month,1370,MONTH
27-year,year,1226,YEAR
28-day,day,1225,DAY (NOT NIGHT)
29-morning,morning,1339,MORNING
30-noon,noon,12,MIDDAY
31-evening,evening,1629,EVENING
32-night,night,1233,NIGHT
33-paddyrice,paddy rice,2026,RICE PLANT
34-uncookedrice,uncooked rice,3289,UNCOOKED RICE
35-cookedrice,cooked rice,1191,COOKED RICE
36-wheat,wheat,1077,WHEAT
37-corn,corn,506,MAIZE
38-potato,potato,593,POTATO
39-cauliflower,cauliflower,2843,CAULIFLOWER
40-cabbage,cabbage,774,CABBAGE
41-eggplant,eggplant,1146,AUBERGINE
42-peanut,peanut,595,GROUNDNUT (PEANUT)
43-tree,tree,906,TREE
44-branch,branch,1531,BRANCH
45-leaf,leaf,628,LEAF
46-thorn,thorn,124,THORN
47-root,root,670,ROOT
48-bamboo,bamboo,1927,BAMBOO
49-fruit,fruit,1507,FRUIT
50-jackfruit,jackfruit,2655,JACKFRUIT
51-coconutripe,coconut (ripe),970,COCONUT
52-banana,banana,868,BANANA
53-mango,mango,2398,MANGO
54-flower,flower,239,FLOWER
55-seed,seed,714,SEED
56-sugarcane,sugarcane,146,SUGAR CANE
57-betelnut,betelnut,217,BETELNUT
58-limeforbetelnut,lime for betelnut,2540,LIME (MATERIAL)
59-liquor,liquor,842,LIQUOR
60-milk,milk,635,MILK
61-oil,oil,1484,OIL (ORGANIC SUBSTANCE)
62-meat,meat,634,MEAT
63-salt,salt,1274,SALT
64-onion,onion,2366,ONION
65-garlic,garlic,2368,GARLIC
66-pepper,pepper,1385,PEPPER
67-elephant,elephant,1290,ELEPHANT
68-tiger,tiger,846,TIGER
69-bear,bear,1820,BEAR
70-deer,deer,1936,DEER
71-monkey,monkey,1350,MONKEY
72-rabbit,rabbit,1136,RABBIT
73-snake,snake,730,SNAKE
74-crocodile,crocodile,1857,CROCODILE
75-houselizard,house lizard,2355,GECKO
76-turtle,turtle,112,TURTLE
77-frog,frog,503,FROG
78-dog,dog,2009,DOG
79-cat,cat,1208,CAT
80-cow,cow,1007,COW
81-waterbuffalo,water buffalo,2516,WATER BUFFALO
82-hornofbuffalo,horn (of buffalo),1393,HORN (ANATOMY)
83-tail,tail,1220,TAIL
84-goat,goat,1502,GOAT
85-pig,pig,1337,PIG
86-rat,rat,1490,RAT
87-chickenadultfemale,chicken (adult female),1514,HEN
88-egg,egg,744,EGG
89-fish,fish,227,FISH
90-duck,duck,1360,DUCK
91-bird,bird,937,BIRD
92-insect,insect,620,INSECT
93-cockroach,cockroach,1575,COCKROACH
94-bee,bee,665,BEE
95-fly,fly,1504,FLY (INSECT)
96-spider,spider,843,SPIDER
97-ant,ant,587,ANT
98-mosquito,mosquito,1509,MOSQUITO
99-head,head,1256,HEAD
100-face,face,1560,FACE
101-neck,neck,1333,NECK
102-hair,hair,2648,HAIR (HEAD)
103-eye,eye,1248,EYE
104-nose,nose,1221,NOSE
105-ear,ear,1247,EAR
106-cheek,cheek,1730,CHEEK
107-chin,chin,1510,CHIN
