NUMBER	ENGLISH	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY
1	sky	78	1732	SKY	2
2	sun	78	1343	SUN	2
3	moon	78	1313	MOON	2
4	star	78	1430	STAR	2
5	cloud	78	1489	CLOUD	2
6	rain	78	658	RAIN (PRECIPITATION)	2
7	rainbow	79	1733	RAINBOW	2
8	wind	79	960	WIND	2
9	lightning	79	1654	LIGHTNING	2
10	thunder	80	1150	THUNDER	2
11	sea	80	1474	SEA	2
12	mountain	80	639	MOUNTAIN	2
13	water	80	948	WATER	2
14	river	80	666	RIVER	2
15	soil/ground	81	1228	EARTH (SOIL)	4
16	mud	81	640	MUD	2
17	dust	81	2	DUST	2
18	stone	81	857	STONE	2
19	sand	81	671	SAND	2
20	gold	82	1369	GOLD	2
21	silver	82	759	SILVER	2
22	today	82	1283	TODAY	2
23	yesterday	82	1174	YESTERDAY	2
24	tomorrow	82	1329	TOMORROW	2
25	week	82	1469	WEEK	2
26	month	83	1370	MONTH	2
27	year	83	1226	YEAR	2
28	day	83	1225	DAY (NOT NIGHT)	2
29	morning	83	1339	MORNING	2
30	noon	83	12	MIDDAY	2
31	evening	84	1629	EVENING	2
32	night	84	1233	NIGHT	2
33	paddy rice	84	2026	RICE PLANT	2
34	uncooked rice	84	3289	UNCOOKED RICE	2
35	cooked rice	84	1191	COOKED RICE	2
36	wheat	84	1077	WHEAT	2
37	corn	84	506	MAIZE	2
38	potato	84	593	POTATO	2
39	cauliflower	84	2843	CAULIFLOWER	2
40	cabbage	84	774	CABBAGE	2
41	eggplant	85	1146	AUBERGINE	2
42	peanut	85	595	GROUNDNUT (PEANUT)	2
43	tree	85	906	TREE	2
44	branch	85	1531	BRANCH	2
45	leaf	85	628	LEAF	2
46	thorn	86	124	THORN	2
47	root	86	670	ROOT	2
48	bamboo	86	1927	BAMBOO	2
49	fruit	86	1507	FRUIT	2
50	jackfruit	86	2655	JACKFRUIT	2
51	coconut (ripe)	87	970	COCONUT	2
52	banana	87	868	BANANA	2
53	mango	87	2398	MANGO	2
54	flower	87	239	FLOWER	2
55	seed	88	714	SEED	2
56	sugarcane	88	146	SUGAR CANE	2
57	betelnut	88	217	BETELNUT	2
58	lime for betelnut	88	2540	LIME (MATERIAL)	
59	liquor	89	842	LIQUOR	2
60	milk	89	635	MILK	2
61	oil	89	1484	OIL (ORGANIC SUBSTANCE)	2
62	meat	89	634	MEAT	2
63	salt	90	1274	SALT	2
64	onion	90	2366	ONION	2
65	garlic	90	2368	GARLIC	2
66	pepper	90	1385	PEPPER	2
67	elephant	91	1290	ELEPHANT	2
68	tiger	91	846	TIGER	2
69	bear	91	1820	BEAR	2
70	deer	91	1936	DEER	2
71	monkey	91	1350	MONKEY	2
72	rabbit	91	1136	RABBIT	2
73	snake	92	730	SNAKE	2
74	crocodile	92	1857	CROCODILE	2
75	house lizard	92	2355	GECKO	2
76	turtle	92	112	TURTLE	2
77	frog	93	503	FROG	2
78	dog	93	2009	DOG	2
79	cat	93	1208	CAT	2
80	cow	93	1007	COW	2
81	water buffalo	93	2516	WATER BUFFALO	2
82	horn (of buffalo)	94	1393	HORN (ANATOMY)	2
