SLNO	CONCEPT_CODE	NAME	CONCEPTICON_ID	CONCEPTICON_NAME	SOURCE_CONCEPT	INDEX	PAGE	SOURCE_IPA	IPA	TOKENS	ALIGNMENT	BORROWED	DOCULECT	DOCULECT_SHORT	GLOTTOLOG	SOURCE	SOURCE_LANGID	CURATOR_COMMENT
1	sky	sky	1732	SKY	sky	1	78	akaʃ	akaʃ	a k a ʃ		1	Bangla	Bangla	bang1341	kim2011tripura	0	
2	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	UsoiBoroPharangsia	UsoiBP	usui1238	kim2011tripura	a	
3	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	UsoiChotoMadhuk	UsoiCM	usui1238	kim2011tripura	b	
4	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	GabingDolchariSapmara	Gabing		kim2011tripura	c	
5	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	NaitongLombapara	Naitong		kim2011tripura	d	
6	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	KemaPakkhipara	Kema		kim2011tripura	e	
7	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	TongpaiTongpaipara	Tongpai		kim2011tripura	f	
8	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	AshongMildhanpara	Ashong		kim2011tripura	g	
9	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	DendakNoimailGutchagram	Dendak		kim2011tripura	h	
10	sky	sky	1732	SKY	sky	1	78	nokʰa	nokʰa	n o kʰ a		0	KhaliBeltolipara	Khali		kim2011tripura	i	
11	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	UsoiRobertpara	UsoiR	usui1238	kim2011tripura	j	
12	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	UsoiBethanipara	UsoiB	usui1238	kim2011tripura	k	
13	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	UsoiKatchaptali	UsoiK	usui1238	kim2011tripura	l	
14	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	AnokLaiphuKarbaripara	Anok		kim2011tripura	m	
15	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	KewaKrishnaDayalpara	Kewa		kim2011tripura	n	
16	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	PhatungJarichandrapara	Phatung		kim2011tripura	o	
17	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	DebbarmaDoluchara	DebbarmaD	debb1238	kim2011tripura	p	
18	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	DebbarmaSatchari	DebbarmaS	debb1238	kim2011tripura	q	
19	sky	sky	1732	SKY	sky	1	78	nou̯kʰa	noukʰa	n ou kʰ a		0	DebbarmaKhumuling	DebbarmaK	debb1238	kim2011tripura	r	
20	sky	sky	1732	SKY	sky	1	78	nokʰa	nokʰa	n o kʰ a		0	MukchakBarbakpur	Mukchak		kim2011tripura	s	
